 area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,sqft_per_bhk
Super built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,1672,3.0,2.0,150.0,3.0,1672.0,8971.291866028709,557.3333333333334
Built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,1750,3.0,3.0,149.0,3.0,1750.0,8514.285714285714,583.3333333333334
Super built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,1750,3.0,2.0,150.0,3.0,1750.0,8571.42857142857,583.3333333333334
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,1250,2.0,3.0,44.0,3.0,1250.0,3520.0,416.6666666666667
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1250,2.0,2.0,40.0,2.0,1250.0,3200.0,625.0
Plot  Area,Ready To Move, Devarachikkanahalli,2 Bedroom,1200,2.0,2.0,83.0,2.0,1200.0,6916.666666666667,600.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1170,2.0,2.0,40.0,2.0,1170.0,3418.803418803419,585.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,1425,2.0,2.0,65.0,3.0,1425.0,4561.403508771929,475.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,947,2.0,2.0,43.0,2.0,947.0,4540.654699049631,473.5
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1130,2.0,2.0,36.0,2.0,1130.0,3185.8407079646017,565.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,1417,2.0,2.0,76.0,3.0,1417.0,5363.443895553987,472.3333333333333
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1230,2.0,1.0,58.0,2.0,1230.0,4715.447154471544,615.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,1705,3.0,2.0,75.0,3.0,1705.0,4398.826979472141,568.3333333333334
Built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1116,2.0,1.0,47.0,2.0,1116.0,4211.469534050179,558.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,991,2.0,2.0,40.0,2.0,991.0,4036.326942482341,495.5
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,1700,3.0,1.0,71.0,3.0,1700.0,4176.470588235294,566.6666666666666
Built-up  Area,Ready To Move, Electronic City,1 RK,550,1.0,1.0,27.0,1.0,550.0,4909.090909090909,550.0
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,1450,2.0,2.0,70.0,3.0,1450.0,4827.586206896552,483.3333333333333
Super built-up  Area,Ready To Move, Mysore Highway,1 BHK,700,1.0,1.0,25.5,1.0,700.0,3642.8571428571427,700.0
Super built-up  Area,20-Aug, Rachenahalli,1 RK,440,1.0,0.0,28.0,1.0,440.0,6363.636363636364,440.0
Super built-up  Area,18-Nov, Thanisandra,1 RK,510,1.0,0.0,25.25,1.0,510.0,4950.980392156863,510.0
Super built-up  Area,21-Nov, Thanisandra,1 RK,510,1.0,1.0,25.25,1.0,510.0,4950.980392156863,510.0
Plot  Area,Ready To Move, south,3 Bedroom,2400,2.0,0.0,480.0,3.0,2400.0,20000.0,800.0
Super built-up  Area,Ready To Move,1st Block BEL Layout,3 BHK,1540,3.0,2.0,85.0,3.0,1540.0,5519.480519480519,513.3333333333334
Super built-up  Area,Ready To Move,1st Block HBR Layout,1 BHK,600,1.0,0.0,45.0,1.0,600.0,7500.0,600.0
Built-up  Area,Ready To Move,1st Block HBR Layout,4 BHK,3150,4.0,2.0,150.0,4.0,3150.0,4761.9047619047615,787.5
Built-up  Area,Ready To Move,1st Block HRBR Layout,3 BHK,2300,3.0,2.0,80.0,3.0,2300.0,3478.2608695652175,766.6666666666666
Super built-up  Area,Ready To Move,1st Block HRBR Layout,2 BHK,1250,2.0,1.0,67.0,2.0,1250.0,5360.0,625.0
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850,4.0,1.0,428.0,4.0,2850.0,15017.543859649122,712.5
Super built-up  Area,18-Jun,1st Block Jayanagar,3 BHK,1630,3.0,2.0,194.0,3.0,1630.0,11901.840490797545,543.3333333333334
Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,1875,2.0,3.0,235.0,3.0,1875.0,12533.333333333334,625.0
Built-up  Area,15-Dec,1st Block Jayanagar,3 BHK,1200,2.0,0.0,130.0,3.0,1200.0,10833.333333333334,400.0
Super built-up  Area,18-Jun,1st Block Jayanagar,2 BHK,1235,2.0,2.0,148.0,2.0,1235.0,11983.805668016194,617.5
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2750,4.0,0.0,413.0,4.0,2750.0,15018.181818181818,687.5
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2450,4.0,2.0,368.0,4.0,2450.0,15020.408163265307,612.5
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,1415,2.0,3.0,110.0,2.0,1415.0,7773.851590106007,707.5
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,860,2.0,2.0,65.5,2.0,860.0,7616.279069767442,430.0
Super built-up  Area,18-Dec,1st Block Koramangala,4 BHK,3000,3.0,3.0,300.0,4.0,3000.0,10000.0,750.0
Built-up  Area,18-Mar,1st Block Koramangala,3 BHK,2350,3.0,2.0,210.0,3.0,2350.0,8936.170212765957,783.3333333333334
Super built-up  Area,Ready To Move,1st Block Koramangala,4 BHK,3000,5.0,3.0,500.0,4.0,3000.0,16666.666666666668,750.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,2825,4.0,3.0,250.0,4.0,2825.0,8849.557522123894,706.25
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,1875,3.0,1.0,167.0,3.0,1875.0,8906.666666666666,625.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,5 Bedroom,1500,5.0,2.0,85.0,5.0,1500.0,5666.666666666667,300.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2065,4.0,1.0,210.0,3.0,2065.0,10169.49152542373,688.3333333333334
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2024,3.0,2.0,157.0,3.0,2024.0,7756.916996047431,674.6666666666666
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2059,3.0,2.0,225.0,3.0,2059.0,10927.634774162214,686.3333333333334
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1394,2.0,1.0,100.0,2.0,1394.0,7173.601147776184,697.0
Super built-up  Area,18-May,1st Phase JP Nagar,2 BHK,1077,2.0,2.0,93.0,2.0,1077.0,8635.097493036212,538.5
Plot  Area,Ready To Move,1st Phase JP Nagar,2 Bedroom,1566,2.0,0.0,180.0,2.0,1566.0,11494.252873563219,783.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,840,2.0,2.0,50.0,1.0,840.0,5952.380952380952,840.0
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,1590,3.0,3.0,131.0,3.0,1590.0,8238.993710691824,530.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2180,3.0,2.0,210.0,3.0,2180.0,9633.02752293578,726.6666666666666
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1180,2.0,2.0,88.5,2.0,1180.0,7500.0,590.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1200,2.0,2.0,86.0,2.0,1200.0,7166.666666666667,600.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1394,2.0,2.0,85.0,2.0,1394.0,6097.5609756097565,697.0
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,2077,3.0,3.0,175.0,3.0,2077.0,8425.613866153106,692.3333333333334
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,4550,2.0,1.0,240.0,4.0,4550.0,5274.725274725275,1137.5
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1205,2.0,1.0,85.0,2.0,1205.0,7053.941908713693,602.5
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,2615,5.0,3.0,222.0,4.0,2615.0,8489.483747609942,653.75
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,900,2.0,1.0,75.0,2.0,900.0,8333.333333333334,450.0
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,1400,2.0,1.0,67.0,2.0,1400.0,4785.714285714285,700.0
Super built-up  Area,18-May,1st Stage Indira Nagar,2 BHK,1200,2.0,2.0,55.0,2.0,1200.0,4583.333333333333,600.0
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,940,2.0,1.0,56.0,2.0,940.0,5957.446808510638,470.0
Super built-up  Area,Ready To Move,1st Stage Indira Nagar,4 BHK,3000,4.0,2.0,301.0,4.0,3000.0,10033.333333333334,750.0
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,1480,3.0,2.0,90.0,3.0,1480.0,6081.081081081081,493.3333333333333
